Year,SP500 NAV,SP500 Dividend,3-month T.Bill,US T Bond 10yr, Baa Corporate Bond,Real Estate,Gold,Inflation
1928,24.35,1.04705,0.032,0.008354709,0.03,-0.021,-0.002,-0.0115607
1929,21.45,0.87945,0.046,0.042038042,0.005,-0.043,0.001,0.005848
1930,15.34,0.72098,0.023,0.045409314,-0.157,-0.082,-0.174,-0.0639535
1931,8.12,0.49532,0.011,-0.02558856,0.236,-0.105,0.213,-0.0931677
1932,6.92,0.49824,0.01,0.08790307,0.13,-0.038,0.273,-0.1027397
1933,9.97,0.40877,0.003,0.018552721,0.188,0.029,0.318,0.0076336
1934,9.5,0.3515,0.002,0.079634426,0.133,0.098,0.004,0.0151515
1935,13.43,0.51034,0.002,0.044720477,0.114,0.032,0.001,0.0298507
1936,17.18,0.54,0.003,0.050178754,-0.044,0.026,-0.002,0.0144928
1937,10.55,0.55915,0.001,0.013791461,0.092,-0.009,0.002,0.0285714
1938,13.14,0.49932,0.001,0.042132485,0.08,-0.013,-0.012,-0.0277778
1939,12.46,0.53578,0,0.044122614,0.087,0.033,-0.017,0
1940,10.58,0.55016,0.001,0.054024816,0.05,-0.084,0,0.0071429
1941,8.69,0.53878,0.003,-0.020221976,0.052,0.033,0,0.0992908
1942,9.77,0.5862,0.004,0.022948682,0.08,0.115,0,0.0903226
1943,11.67,0.54849,0.004,0.0249,0.066,0.166,0,0.0295858
1944,13.28,0.61088,0.004,0.025776112,0.068,0.118,0.025,0.0229885
1945,17.36,0.67704,0.004,0.038044173,0.025,0.241,0,0.0224719
1946,15.3,0.5967,0.006,0.031283745,0.003,0.213,0,0.1813187
1947,15.3,0.7956,0.011,0.009196968,0.034,0.021,0,0.0883721
1948,15.2,0.9728,0.011,0.019510369,0.054,0.001,-0.087,0.0273387
1949,16.79,1.19209,0.012,0.046634852,0.042,0.036,0.096,-0.0182952
1950,20.43,1.53225,0.015,0.004295957,-0.002,0.061,0,0.0580263
1951,23.77,1.49751,0.017,-0.002953139,0.044,0.044,-0.004,0.0596477
1952,26.57,1.51449,0.019,0.022679962,0.016,0.115,0.007,0.0090669
1953,24.81,1.43898,0.009,0.041438403,0.062,0.009,0.006,0.0059903
1954,35.98,1.87096,0.017,0.032898035,0.02,0,0,-0.0037216
1955,45.48,2.22852,0.026,-0.013364391,-0.024,0.009,-0.001,0.0037355
1956,46.67,2.19349,0.032,-0.022557738,-0.007,0.027,-0.001,0.0282843
1957,39.99,1.79955,0.018,0.067970128,0.064,0.007,0.004,0.0304017
1958,55.21,2.26361,0.034,-0.020990182,0.016,0.001,0,0.0175623
1959,59.89,1.97637,0.029,-0.026466313,0.067,0.008,0.005,0.0151881
1960,58.11,1.981551,0.024,0.116395037,0.051,0.01,-0.001,0.0136008
1961,71.55,2.039175,0.028,0.020609208,0.065,0.003,-0.001,0.0067092
1962,63.1,2.1454,0.032,0.056935441,0.055,0.021,-0.004,0.0123292
1963,75.02,2.348126,0.036,0.016841621,0.052,0.013,0,0.0164582
1964,84.75,2.584875,0.04,0.037280649,0.032,0.017,0.001,0.0119819
1965,92.43,2.828358,0.049,0.007188551,-0.035,0.012,0,0.0192
1966,80.33,2.883847,0.043,0.029079409,0.009,0.023,-0.005,0.033595
1967,96.47,2.980923,0.053,-0.01580621,0.049,0.041,0.125,0.0328068
1968,103.86,3.043098,0.067,0.032746197,-0.02,0.07,0.05,0.0470588
1969,92.06,3.240512,0.064,-0.050140493,0.057,0.082,-0.095,0.0589888
1970,92.15,3.18839,0.043,0.167547372,0.14,0.042,0.167,0.0557029
1971,102.09,3.16479,0.041,0.097868966,0.114,0.03,0.488,0.0326633
1972,118.05,3.18735,0.07,0.028184491,0.043,0.034,0.73,0.0340633
1973,97.55,3.60935,0.079,0.036586646,-0.044,0.101,0.662,0.0894118
1974,68.56,3.722808,0.058,0.019886087,0.111,0.068,-0.248,0.1209503
1975,90.19,3.733866,0.05,0.036052536,0.198,0.082,-0.041,0.0712909
1976,107.46,4.223178,0.053,0.159845607,0.1,0.147,0.226,0.0503597
1977,95.1,4.85961,0.072,0.012899606,0.031,0.157,0.37,0.0667808
1978,96.11,5.180329,0.101,-0.007775807,-0.02,0.137,1.266,0.0898876
1979,107.94,5.969082,0.114,0.006707203,-0.033,0.074,0.152,0.1325479
1980,135.76,6.435024,0.14,-0.029897443,0.085,0.051,-0.326,0.1235371
1981,122.55,6.826035,0.106,0.081992153,0.291,0.006,0.156,0.0891204
1982,140.64,6.933552,0.086,0.328145495,0.162,0.048,-0.168,0.0382572
1983,164.93,7.124976,0.095,0.032002094,0.156,0.047,-0.194,0.037871
1984,167.24,7.826832,0.075,0.137333643,0.239,0.075,0.06,0.0404339
1985,211.28,8.197664,0.06,0.257124882,0.214,0.096,0.19,0.0379147
1986,242.17,8.185346,0.058,0.242842151,0.028,0.079,0.245,0.0118721
1987,247.08,9.166668,0.067,-0.049605089,0.144,0.072,-0.153,0.0433213
1988,277.72,10.220096,0.081,0.082235958,0.16,0.044,-0.028,0.0441176
1989,353.4,11.73288,0.075,0.176936472,0.063,-0.007,-0.031,0.046396
1990,330.22,12.350228,0.054,0.062353753,0.189,-0.002,-0.086,0.0625495
1991,417.09,12.971499,0.034,0.1500451,0.113,0.008,-0.057,0.0298063
1992,435.71,12.63559,0.03,0.093616373,0.155,0.022,0.177,0.0296671
1993,466.45,12.68744,0.043,0.142109576,-0.01,0.025,-0.022,0.0281096
1994,459.27,13.364757,0.055,-0.080366556,0.213,0.018,0.01,0.025974
1995,615.93,14.16639,0.05,0.234807801,0.034,0.024,-0.046,0.0253165
1996,740.74,14.888874,0.051,0.014286078,0.128,0.04,-0.214,0.0337882
1997,970.43,15.522,0.048,0.099391303,0.076,0.064,-0.008,0.0169705
1998,1229.23,16.2,0.046,0.149214319,0.009,0.077,0.009,0.0160692
1999,1469.25,16.709,0.058,-0.082542148,0.094,0.093,-0.054,0.026764
2000,1320.28,16.27,0.034,0.166552671,0.085,0.067,0.008,0.0343602
2001,1148.09,15.74,0.016,0.055721812,0.121,0.096,0.256,0.0160367
2002,879.82,16.08,0.01,0.151164004,0.123,0.098,0.199,0.0248027
2003,1111.91,17.39,0.014,0.003753186,0.104,0.136,0.047,0.020352
2004,1211.92,19.44,0.032,0.044906837,0.053,0.135,0.178,0.0334232
2005,1248.29,22.22,0.047,0.02867533,0.052,0.017,0.232,0.0333855
2006,1418.3,24.88,0.044,0.019610012,0.048,-0.054,0.319,0.0252398
2007,1468.36,27.73,0.014,0.102099219,-0.035,-0.12,0.043,0.0410881
2008,903.25,28.39,0.002,0.201012799,0.202,-0.039,0.25,-0.0002223
2009,1115.1,22.41,0.001,-0.111166953,0.094,-0.041,0.292,0.0281412
2010,1257.64,22.73,0.001,0.084629339,0.123,-0.039,0.12,0.0143779
2011,1257.6,26.43,0.001,0.16035335,0.093,0.064,0.057,0.0306207
2012,1426.19,31.25,0.001,0.02971572,-0.01,0.107,-0.276,0.017595
2013,1848.36,36.28,0,-0.091045688,0.108,0.045,0.001,0.0151284
2014,2058.9,39.44,0.001,0.107461805,-0.015,0.052,-0.121,0.0065312
2015,2043.9,43.39,0.003,0.012842997,0.115,0.053,0.081,0.0063872
2016,2238.83,45.7,0.009,0.006905505,0.092,0.062,0.127,0.020508
2017,2673.61,48.93,0.019,0.028017163,-0.033,0.045,-0.009,0.0212993
2018,2506.85,53.75,0.021,-0.000166924,0.153,0.037,0.191,0.0200238
2019,3230.78,58.5,0.004,0.096356307,0.106,0.104,0.242,0.0231399
2020,3756.07,57,0.001,0.113318976,0.009,0.189,-0.038,0.0132204
2021,4766.18,59.2,0.02,-0.044160344,-0.151,0.057,0.006,0.0719446
2022,3839.5,66.98,0.051,-0.178281715,0.087,0.063,0.133,0.0644494
